,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
208,1.2027002175649006,1.033301001367055,0.001667340596516927,0.000942010408516738,1000.0,balanced,l2,newton-cg,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}",0.5714285714285714,0.5714285714285714,0.53125,0.5580357142857143,0.018940360210353935,9,0.6074766355140186,0.6292834890965732,0.6490683229813664,0.6286094825306527,0.016986422621877766
209,0.8613210519154867,0.12243566580066664,0.0013359387715657551,0.00047036847052123285,1000.0,balanced,l2,sag,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.525,0.5497412008281574,0.024922346811311072,42,0.6105919003115264,0.6105919003115264,0.6459627329192547,0.6223821778474359,0.016673970395425917
210,0.9118963877360026,0.027130299587957107,0.0019072691599527996,0.00010560020341615766,1000.0,balanced,l2,saga,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
211,3.5697383085886636,0.22435256227745598,0.001845995585123698,0.00021556708118371934,1000.0,balanced,l2,lbfgs,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5652173913043478,0.5590062111801242,0.525,0.5497412008281573,0.017677480089052972,48,0.616822429906542,0.6261682242990654,0.6521739130434783,0.6317215224163618,0.01495685305537117
212,4.181229591369629,2.952665633654596,0.0016491413116455078,0.00043735733591712564,1000.0,balanced,none,newton-cg,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'newton-cg'}",0.5714285714285714,0.5714285714285714,0.53125,0.5580357142857143,0.018940360210353935,9,0.6074766355140186,0.6292834890965732,0.6490683229813664,0.6286094825306527,0.016986422621877766
213,0.8760341008504232,0.030007839378628474,0.0019692579905192056,4.394554521504938e-05,1000.0,balanced,none,sag,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.525,0.5497412008281574,0.024922346811311072,42,0.6105919003115264,0.6105919003115264,0.6428571428571429,0.6213469811600653,0.015209981200422738
214,1.1933302879333496,0.01912174196152979,0.001645485560099284,0.0004575878181924642,1000.0,balanced,none,saga,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
215,3.124954620997111,0.47296075811076277,0.0013349056243896484,0.0004695195345306413,1000.0,balanced,none,lbfgs,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'lbfgs'}",0.5590062111801242,0.5527950310559007,0.5375,0.5497670807453416,0.009037169252350197,32,0.6105919003115264,0.6261682242990654,0.6614906832298136,0.6327502692801352,0.02129419346113474
216,0.0009601910909016927,5.535363123516565e-05,0.0,0.0,10000.0,auto,l1,newton-cg,"{'C': 10000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,160,,,,,
217,0.0,0.0,0.0,0.0,10000.0,auto,l1,sag,"{'C': 10000.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'sag'}",,,,,,161,,,,,
