,param_C,param_degree,param_gamma,param_kernel,mean_train_score,mean_test_score
432,0.0001,2,auto,linear,0.5591287578284733,0.5352743271221532
433,0.0001,2,auto,poly,0.7012635204427159,0.6389880952380952
434,0.0001,2,auto,rbf,0.5,0.5
435,0.0001,2,auto,sigmoid,0.5,0.5
436,0.0001,2,scale,linear,0.5591287578284733,0.5352743271221532
437,0.0001,2,scale,poly,0.5,0.5
438,0.0001,2,scale,rbf,0.5,0.5
439,0.0001,2,scale,sigmoid,0.5,0.5
440,0.0001,2,1,linear,0.5591287578284733,0.5352743271221532
441,0.0001,2,1,poly,0.5425107873299665,0.48968685300207043
442,0.0001,2,1,rbf,0.5,0.5
443,0.0001,2,1,sigmoid,0.5,0.5
444,0.0001,2,2,linear,0.5591287578284733,0.5352743271221532
445,0.0001,2,2,poly,0.5705352708603421,0.47516821946169774
446,0.0001,2,2,rbf,0.5,0.5
